id,label
000001,cat
000002,dog
000003,deer
000004,automobile
000005,bird
000006,airplane
000007,deer
000008,airplane
000009,cat
000010,bird
000011,cat
000012,automobile
000013,cat
000014,dog
000015,automobile
000016,automobile
000017,dog
000018,airplane
000019,automobile
000020,automobile
000021,bird
000022,dog
000023,cat
000024,dog
000025,cat
000026,bird
000027,dog
000028,dog
000029,frog
000030,horse
000031,cat
000032,deer
000033,dog
000034,airplane
000035,automobile
000036,airplane
000037,deer
000038,automobile
000039,bird
000040,dog
000041,deer
000042,dog
000043,airplane
000044,automobile
000045,airplane
000046,automobile
000047,dog
000048,bird
000049,dog
000050,dog
000051,deer
000052,dog
000053,airplane
000054,cat
000055,cat
000056,airplane
000057,airplane
000058,bird
000059,cat
000060,airplane
000061,bird
000062,bird
000063,cat
000064,automobile
000065,airplane
000066,dog
000067,deer
000068,deer
000069,dog
000070,airplane
000071,automobile
000072,cat
000073,bird
000074,bird
000075,bird
000076,airplane
000077,deer
000078,airplane
000079,deer
000080,airplane
000081,airplane
000082,cat
000083,deer
000084,dog
000085,deer
000086,dog
000087,deer
000088,dog
000089,deer
000090,bird
000091,deer
000092,dog
000093,automobile
000094,deer
000095,bird
000096,bird
000097,dog
000098,airplane
000099,bird
000100,deer
000101,automobile
000102,deer
000103,automobile
000104,airplane
000105,airplane
000106,bird
000107,bird
000108,ship
000109,bird
000110,airplane
000111,automobile
000112,frog
000113,automobile
000114,bird
000115,airplane
000116,bird
000117,dog
000118,bird
000119,bird
000120,bird
000121,dog
000122,automobile
000123,deer
000124,bird
000125,bird
000126,deer
000127,cat
000128,bird
000129,airplane
000130,bird
000131,dog
000132,cat
000133,airplane
000134,cat
000135,frog
000136,cat
000137,automobile
000138,automobile
000139,bird
000140,cat
000141,dog
000142,bird
000143,automobile
000144,deer
000145,automobile
000146,cat
000147,deer
000148,deer
000149,cat
000150,bird
000151,automobile
000152,ship
000153,automobile
000154,dog
000155,dog
000156,bird
000157,airplane
000158,automobile
000159,truck
000160,ship
000161,airplane
000162,bird
000163,dog
000164,airplane
000165,deer
000166,airplane
000167,airplane
000168,dog
000169,cat
000170,automobile
000171,dog
000172,airplane
000173,cat
000174,deer
000175,bird
000176,bird
000177,airplane
000178,airplane
000179,airplane
000180,bird
000181,airplane
000182,cat
000183,airplane
000184,bird
000185,bird
000186,automobile
000187,automobile
000188,bird
000189,cat
000190,bird
000191,cat
000192,bird
000193,deer
000194,dog
000195,airplane
000196,automobile
000197,cat
000198,frog
000199,bird
000200,bird
000201,bird
000202,deer
000203,cat
000204,horse
000205,deer
000206,airplane
000207,bird
000208,automobile
000209,dog
000210,bird
000211,bird
000212,automobile
000213,automobile
000214,airplane
000215,deer
000216,airplane
000217,airplane
000218,deer
000219,dog
000220,cat
000221,bird
000222,dog
000223,cat
000224,airplane
000225,cat
000226,deer
000227,dog
000228,cat
000229,frog
000230,cat
000231,airplane
000232,automobile
000233,automobile
000234,airplane
000235,cat
000236,deer
000237,bird
000238,cat
000239,bird
000240,dog
000241,bird
000242,bird
000243,deer
000244,bird
000245,cat
000246,bird
000247,automobile
000248,automobile
000249,bird
000250,cat
000251,dog
000252,dog
000253,automobile
000254,airplane
000255,bird
000256,bird
000257,dog
000258,airplane
000259,airplane
000260,frog
000261,deer
000262,deer
000263,airplane
000264,deer
000265,deer
000266,bird
000267,deer
000268,airplane
000269,bird
000270,cat
000271,automobile
000272,bird
000273,deer
000274,dog
000275,dog
000276,airplane
000277,bird
000278,cat
000279,bird
000280,bird
000281,bird
000282,cat
000283,dog
000284,automobile
000285,cat
000286,automobile
000287,cat
000288,bird
000289,airplane
000290,bird
000291,automobile
000292,automobile
000293,cat
000294,deer
000295,automobile
000296,automobile
000297,bird
000298,cat
000299,dog
000300,cat
000301,automobile
000302,horse
000303,deer
000304,automobile
000305,deer
000306,automobile
000307,airplane
000308,deer
000309,automobile
000310,deer
000311,dog
000312,bird
000313,automobile
000314,deer
000315,deer
000316,automobile
000317,cat
000318,automobile
000319,horse
000320,airplane
000321,automobile
000322,automobile
000323,deer
000324,automobile
000325,deer
000326,bird
000327,dog
000328,airplane
000329,automobile
000330,cat
000331,airplane
000332,deer
000333,bird
000334,bird
000335,airplane
000336,airplane
000337,bird
000338,dog
000339,bird
000340,dog
000341,deer
000342,bird
000343,airplane
000344,airplane
000345,airplane
000346,automobile
000347,dog
000348,cat
000349,airplane
000350,bird
000351,cat
000352,airplane
000353,bird
000354,automobile
000355,airplane
000356,cat
000357,cat
000358,deer
000359,dog
000360,deer
000361,cat
000362,airplane
000363,dog
000364,automobile
000365,dog
000366,horse
000367,automobile
000368,cat
000369,dog
000370,bird
000371,airplane
000372,airplane
000373,automobile
000374,cat
000375,dog
000376,cat
000377,cat
000378,airplane
000379,dog
000380,bird
000381,automobile
000382,cat
000383,airplane
000384,cat
000385,automobile
000386,deer
000387,deer
000388,cat
000389,dog
000390,cat
000391,cat
000392,cat
000393,deer
000394,automobile
000395,deer
000396,bird
000397,cat
000398,automobile
000399,cat
000400,frog
000401,airplane
000402,deer
000403,cat
000404,frog
000405,airplane
000406,cat
000407,dog
000408,airplane
000409,automobile
000410,dog
000411,bird
000412,deer
000413,cat
000414,bird
000415,bird
000416,cat
000417,cat
000418,bird
000419,dog
000420,bird
000421,bird
000422,bird
000423,deer
000424,deer
000425,bird
000426,deer
000427,airplane
000428,bird
000429,airplane
000430,bird
000431,cat
000432,bird
000433,bird
000434,cat
000435,cat
000436,airplane
000437,deer
000438,automobile
000439,airplane
000440,automobile
000441,cat
000442,airplane
000443,airplane
000444,airplane
000445,deer
000446,dog
000447,deer
000448,cat
000449,cat
000450,automobile
000451,automobile
000452,airplane
000453,frog
000454,deer
000455,airplane
000456,airplane
000457,bird
000458,deer
000459,bird
000460,dog
000461,airplane
000462,cat
000463,deer
000464,automobile
000465,bird
000466,airplane
000467,horse
000468,cat
000469,automobile
000470,cat
000471,bird
000472,bird
000473,airplane
000474,automobile
000475,dog
000476,bird
000477,cat
000478,bird
000479,deer
000480,dog
000481,bird
000482,ship
000483,deer
000484,cat
000485,automobile
000486,airplane
000487,deer
000488,airplane
000489,deer
000490,deer
000491,cat
000492,cat
000493,deer
000494,airplane
000495,automobile
000496,cat
000497,dog
000498,airplane
000499,deer
000500,automobile
000501,airplane
000502,deer
000503,cat
000504,dog
000505,cat
000506,deer
000507,airplane
000508,frog
000509,dog
000510,dog
000511,bird
000512,cat
000513,bird
000514,cat
000515,deer
000516,airplane
000517,cat
000518,cat
000519,deer
000520,airplane
000521,cat
000522,deer
000523,airplane
000524,cat
000525,dog
000526,automobile
000527,automobile
000528,deer
000529,deer
000530,bird
000531,automobile
000532,bird
000533,frog
000534,airplane
000535,deer
000536,deer
000537,airplane
000538,deer
000539,horse
000540,automobile
000541,cat
000542,cat
000543,cat
000544,deer
000545,dog
000546,cat
000547,bird
000548,automobile
000549,dog
000550,airplane
000551,airplane
000552,deer
000553,airplane
000554,airplane
000555,bird
000556,airplane
000557,airplane
000558,frog
000559,airplane
000560,deer
000561,bird
000562,automobile
000563,automobile
000564,dog
000565,cat
000566,automobile
000567,bird
000568,cat
000569,automobile
000570,deer
000571,automobile
000572,ship
